ticker,company_name,sector,industry,fiscal_year_end,COGS_to_Revenue,Gross_Margin,SGA_to_Revenue,Net_Margin,Cash_to_Assets,Receivables_to_Assets,Inventory_to_Assets,PPE_to_Assets,Debt_to_Assets,Equity_to_Assets
SBUX,Starbucks Corp,Consumer Discretionary,Restaurants,2023-09-30,0.7263089427278488,0.27369105727215115,0.06785988280945975,0.11464714973482026,0.12061265728209744,0.040213275373147,0.06134723472177413,0.536574349221443,0.8354349561053471,-0.2712740486661799
SBUX,Starbucks Corp,Consumer Discretionary,Restaurants,2022-09-30,0.7404334223247536,0.25956657767524643,0.06300716582481403,0.10175409220999494,0.10073485260057759,0.04201455408457953,0.07779572813313128,0.5209768964629857,0.8508277814313899,-0.31090770022588854
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,2026-01-31,0.6903697078115683,0.30963029218843174,0.1907341151527198,0.09100245146756775,0.1741829060306987,0.01705482707523695,0.20401487404590823,0.5186344954846647,0.3771353482260184,0.28489948835518775
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,2025-01-31,0.6939673527324344,0.3060326472675656,0.19421575585521647,0.08630234208658623,0.1680367885602696,0.01946518000566947,0.20224259031780528,0.5350404737157076,0.40246936911398784,0.2643547828278056
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,2024-01-31,0.6999834000405777,0.3000165999594223,0.19309441688031428,0.08252024272829556,0.18825427774229334,0.019766699162940802,0.20052442263085354,0.5367600094127138,0.4216223484721148,0.24547013144182606
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,2023-01-31,0.7239066004485741,0.2760933995514258,0.1787688240948414,0.07004966356936879,0.19319905464037532,0.024057285971286466,0.20526297223887968,0.5244982186320505,0.44953966630216236,0.22448763624819218
BKNG,Booking Holdings,Consumer Discretionary,Internet Travel,2025-12-31,0.6672502712140653,0.3327497287859347,0.590667607831482,0.20076531559980682,0.3604896186582238,0.13053581191908145,0.20499896472738427,0.04917304537998907,0.6592741935483871,-0.19060962274466922
BKNG,Booking Holdings,Consumer Discretionary,Internet Travel,2024-12-31,0.6672502712140653,0.3327497287859347,0.605400940299401,0.24777791819368972,0.3604896186582238,0.11545402049949473,0.20499896472738427,0.05020210769452865,0.616464558972138,-0.14508445214378518
BKNG,Booking Holdings,Consumer Discretionary,Internet Travel,2023-12-31,0.6672502712140653,0.3327497287859347,0.605400940299401,0.2007488883688275,0.3604896186582238,0.13363733464793362,0.20499896472738427,0.06116999424862378,0.6073042478021526,-0.11272697395448196
BKNG,Booking Holdings,Consumer Discretionary,Internet Travel,2022-12-31,0.6672502712140653,0.3327497287859347,0.605400940299401,0.1789350497366881,0.3604896186582238,0.08789085603879973,0.20499896472738427,0.05181183707267063,0.514057016679153,0.10969598990576081
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2025-12-31,0.746242809901153,0.253757190098847,0.05467372252350217,0.12877849929743582,0.038973127114687804,0.02806016233642421,0.005504233628190286,0.7940793133071641,0.5643222531558344,0.3147031234869278
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2024-12-31,0.7332745970802343,0.2667254029197657,0.06164858249439868,0.13559571615434635,0.08132405310779418,0.02318919244263651,0.005317254600910393,0.6942626407836101,0.4933108976232387,0.3971531361068118
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2023-12-31,0.7380283679048961,0.2619716320951039,0.06418218475960805,0.12447130160320732,0.06968967831134402,0.02094572571448177,0.0048865279807149406,0.7146105558153648,0.5036602032578842,0.38066499245061325
CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2022-12-31,0.7611809949028635,0.23881900509713652,0.06534032871272635,0.1041270684678433,0.055431220249024755,0.02231987163053244,0.005148751989172435,0.7583610200730306,0.5386370040349309,0.3418291783014488
